,imputer_model,nll,mse
0,gmm_linear_heads,-523.1039428710938,2.80849552154541
1,gmm_linear_heads,-519.4075317382812,0.6917305588722229
2,gmm_linear_heads,-464.32489013671875,5.019078731536865
3,gmm_linear_heads,-909.2341918945312,0.48785585165023804
4,gmm_linear_heads,265.302490234375,13.847060203552246
5,gmm_linear_heads,-317.92230224609375,8.207582473754883
6,gmm_linear_heads,-571.5831909179688,1.5415884256362915
7,gmm_linear_heads,459.34600830078125,1.5776137113571167
8,gmm_linear_heads,-824.1519165039062,2.250951051712036
9,gmm_linear_heads,-532.6935424804688,3.4789764881134033
10,gmm_linear_heads,658.2081909179688,4.874144554138184
11,gmm_linear_heads,-550.8098754882812,2.0988731384277344
12,gmm_linear_heads,-507.4463806152344,1.4849815368652344
13,gmm_linear_heads,-868.3577880859375,1.162372350692749
14,gmm_linear_heads,-675.062744140625,3.8024559020996094
15,gmm_linear_heads,-528.2640380859375,3.6844394207000732
16,gmm_linear_heads,-528.60986328125,2.815002202987671
17,gmm_linear_heads,-476.82110595703125,4.628180027008057
18,gmm_linear_heads,-642.4116821289062,3.2088401317596436
19,gmm_linear_heads,1976.81494140625,1.0621904134750366
20,torch_mfa,-547.9711303710938,2.044786214828491
21,torch_mfa,-567.4066162109375,2.120335817337036
22,torch_mfa,-417.3949890136719,5.545750617980957
23,torch_mfa,-633.102294921875,0.8770453929901123
24,torch_mfa,-496.8725280761719,10.840982437133789
25,torch_mfa,-149.8359375,8.860825538635254
26,torch_mfa,-710.583251953125,0.8718124032020569
27,torch_mfa,-610.2510375976562,1.7565540075302124
28,torch_mfa,-486.14666748046875,13.275199890136719
29,torch_mfa,-394.596435546875,9.142367362976074
30,torch_mfa,-463.09283447265625,10.540522575378418
31,torch_mfa,-298.6385192871094,8.53821849822998
32,torch_mfa,-636.14208984375,2.1211891174316406
33,torch_mfa,-666.8882446289062,2.775848150253296
34,torch_mfa,-585.0916748046875,6.699168682098389
35,torch_mfa,-340.13165283203125,8.035407066345215
36,torch_mfa,-587.4779663085938,2.3171651363372803
37,torch_mfa,-479.8756103515625,4.355778694152832
38,torch_mfa,-610.3687133789062,1.3617199659347534
39,torch_mfa,-605.8959350585938,0.9763808846473694
