,imputer_model,img_kind,structural_similarity,peak_signal_noise_ratio
0,gmm_linear_heads,inpainted_means_0,0.96 ± 0.03,30.89 ± 3.72
1,gmm_linear_heads,inpainted_samples_0,0.95 ± 0.03,29.67 ± 3.67
2,gmm_linear_heads,mask,0.12 ± 0.06,4.61 ± 1.14
3,gmm_linear_heads,masked,0.68 ± 0.07,13.83 ± 2.37
4,gmm_linear_heads,means_0,0.76 ± 0.08,15.29 ± 2.11
5,gmm_linear_heads,original,1.00 ± 0.00,inf ± nan
6,gmm_linear_heads,samples_0,0.74 ± 0.08,15.02 ± 2.07
7,torch_mfa,inpainted_means_0,0.95 ± 0.03,29.56 ± 3.51
8,torch_mfa,inpainted_samples_0,0.85 ± 0.07,20.88 ± 3.68
9,torch_mfa,mask,0.12 ± 0.06,4.61 ± 1.14
10,torch_mfa,masked,0.68 ± 0.07,13.83 ± 2.37
11,torch_mfa,means_0,0.95 ± 0.03,29.56 ± 3.51
12,torch_mfa,original,1.00 ± 0.00,inf ± nan
13,torch_mfa,samples_0,0.63 ± 0.15,13.62 ± 2.51
