,imputer_model,img_kind,structural_similarity,peak_signal_noise_ratio
0,gmm_linear_heads,inpainted_means_0,0.92 ± 0.04,23.24 ± 5.13
1,gmm_linear_heads,inpainted_samples_0,0.91 ± 0.05,21.99 ± 4.89
2,gmm_linear_heads,mask,-0.00 ± 0.05,1.06 ± 0.24
3,gmm_linear_heads,masked,0.82 ± 0.09,inf ± nan
4,gmm_linear_heads,means_0,0.66 ± 0.08,15.49 ± 2.00
5,gmm_linear_heads,original,1.00 ± 0.00,inf ± nan
6,gmm_linear_heads,samples_0,0.61 ± 0.09,14.69 ± 1.95
7,torch_mfa,inpainted_means_0,0.92 ± 0.06,23.22 ± 7.68
8,torch_mfa,inpainted_samples_0,0.87 ± 0.07,19.75 ± 7.30
9,torch_mfa,mask,-0.00 ± 0.05,1.06 ± 0.24
10,torch_mfa,masked,0.82 ± 0.09,inf ± nan
11,torch_mfa,means_0,0.92 ± 0.06,23.22 ± 7.68
12,torch_mfa,original,1.00 ± 0.00,inf ± nan
13,torch_mfa,samples_0,0.69 ± 0.14,15.48 ± 2.88
