,imputer_model,nll,mse
0,torch_mfa,-179.438232421875,2.1537930965423584
1,torch_mfa,286.0,20.61319923400879
2,torch_mfa,-184.11654663085938,1.8499510288238525
3,torch_mfa,-64.09461212158203,10.391018867492676
4,torch_mfa,-169.5634307861328,3.4480764865875244
5,torch_mfa,-189.99937438964844,3.029202461242676
6,torch_mfa,81.19473266601562,7.303975582122803
7,torch_mfa,-42.803165435791016,7.094275951385498
8,torch_mfa,-131.59149169921875,10.52763843536377
9,torch_mfa,-156.19146728515625,5.731572151184082
10,torch_mfa,-145.5235595703125,3.1803715229034424
11,torch_mfa,213.9127197265625,12.526132583618164
12,torch_mfa,-113.70902252197266,5.12569522857666
13,torch_mfa,-226.40750122070312,1.6757526397705078
14,torch_mfa,-206.97128295898438,1.2216320037841797
15,torch_mfa,-29.36566734313965,3.5319550037384033
16,torch_mfa,-110.17034912109375,3.7159767150878906
17,torch_mfa,33.51448059082031,14.754759788513184
18,torch_mfa,-156.37428283691406,3.6735401153564453
19,torch_mfa,-211.45584106445312,0.978722333908081
20,gmm_fullconv,-83.13616180419922,5.55864143371582
21,gmm_fullconv,517.8386840820312,21.964649200439453
22,gmm_fullconv,-89.7894287109375,11.227603912353516
23,gmm_fullconv,-433.1388244628906,7.783783435821533
24,gmm_fullconv,-154.6692352294922,9.842886924743652
25,gmm_fullconv,-146.4464111328125,12.142525672912598
26,gmm_fullconv,37.30986785888672,22.507890701293945
27,gmm_fullconv,-7.9751458168029785,9.941609382629395
28,gmm_fullconv,-107.13644409179688,8.971573829650879
29,gmm_fullconv,-27.100858688354492,8.26575756072998
30,gmm_fullconv,-156.7696075439453,2.6685023307800293
31,gmm_fullconv,-133.11224365234375,11.895513534545898
32,gmm_fullconv,-116.24605560302734,7.470048427581787
33,gmm_fullconv,-148.46253967285156,5.964480400085449
34,gmm_fullconv,-190.53492736816406,13.07402515411377
35,gmm_fullconv,-90.6187973022461,4.478011608123779
36,gmm_fullconv,-119.6259765625,9.025765419006348
37,gmm_fullconv,58.196128845214844,18.054662704467773
38,gmm_fullconv,-142.5806884765625,6.553949356079102
39,gmm_fullconv,-214.2567138671875,7.483421802520752
40,gmm_linear_heads,-223.58926391601562,4.39210844039917
41,gmm_linear_heads,17.733488082885742,15.366951942443848
42,gmm_linear_heads,-282.9264831542969,7.093225002288818
43,gmm_linear_heads,-255.8172149658203,9.64554500579834
44,gmm_linear_heads,-229.97158813476562,4.564505577087402
45,gmm_linear_heads,-365.5826110839844,6.519331455230713
46,gmm_linear_heads,-104.52208709716797,7.500475883483887
47,gmm_linear_heads,-177.21702575683594,5.475459575653076
48,gmm_linear_heads,-348.4217224121094,5.2120208740234375
49,gmm_linear_heads,-353.51348876953125,3.1654915809631348
50,gmm_linear_heads,-219.6756591796875,3.3785018920898438
51,gmm_linear_heads,-133.0166473388672,10.929930686950684
52,gmm_linear_heads,-339.45587158203125,2.912038564682007
53,gmm_linear_heads,-312.55206298828125,5.286231517791748
54,gmm_linear_heads,-379.1296691894531,3.5888726711273193
55,gmm_linear_heads,-390.2064514160156,2.76389741897583
56,gmm_linear_heads,-238.80865478515625,3.0410611629486084
57,gmm_linear_heads,-54.71616744995117,14.907501220703125
58,gmm_linear_heads,-254.53001403808594,2.695124626159668
59,gmm_linear_heads,-404.0232849121094,2.2617006301879883
