,imputer_model,nll,mse
0,torch_mfa_18x18,-61.31499099731445,28.978988647460938
1,torch_mfa_18x18,41.72692108154297,33.11701583862305
2,torch_mfa_18x18,-383.42169189453125,7.953578948974609
3,torch_mfa_18x18,16.44550132751465,17.934917449951172
4,torch_mfa_18x18,445.9548645019531,50.35941696166992
5,torch_mfa_18x18,-195.5221405029297,15.384292602539062
6,torch_mfa_18x18,304.371826171875,45.90647506713867
7,torch_mfa_18x18,5136.66455078125,81.87676239013672
8,torch_mfa_18x18,1285.032958984375,56.73075485229492
9,torch_mfa_18x18,347.61376953125,43.83560562133789
10,torch_mfa_18x18,-65.70393371582031,18.656314849853516
11,torch_mfa_18x18,667.6450805664062,60.22285842895508
12,torch_mfa_18x18,-138.83531188964844,21.55445671081543
13,torch_mfa_18x18,485.48944091796875,36.879981994628906
14,torch_mfa_18x18,-308.0198669433594,20.941028594970703
15,torch_mfa_18x18,-18.65983772277832,21.59841537475586
16,torch_mfa_18x18,1214.351806640625,92.43798828125
17,torch_mfa_18x18,478.7453918457031,52.557106018066406
18,torch_mfa_18x18,842.4415893554688,112.5100326538086
19,torch_mfa_18x18,6128.27294921875,54.43828582763672
20,torch_mfa_18x18,7074.58056640625,82.67056274414062
21,torch_mfa_18x18,354.8630065917969,28.58452033996582
22,torch_mfa_18x18,-3.042470693588257,24.783935546875
23,torch_mfa_18x18,4.707882881164551,34.099342346191406
24,torch_mfa_18x18,2414.943115234375,59.211368560791016
25,torch_mfa_18x18,4.950384140014648,31.851224899291992
26,torch_mfa_18x18,-114.8373031616211,38.92424392700195
27,torch_mfa_18x18,303.9294128417969,28.27584457397461
28,torch_mfa_18x18,17.79305648803711,16.06784439086914
29,torch_mfa_18x18,-329.816650390625,16.300670623779297
30,torch_mfa_18x18,138.5802764892578,60.4544792175293
31,torch_mfa_18x18,-271.1180114746094,4.153189182281494
32,torch_mfa_18x18,-117.06100463867188,10.9419584274292
33,torch_mfa_18x18,-31.136816024780273,66.35628509521484
34,torch_mfa_18x18,-212.5716094970703,38.2262077331543
35,torch_mfa_18x18,1095.1995849609375,116.37223052978516
36,torch_mfa_18x18,228.06265258789062,25.01073455810547
37,torch_mfa_18x18,-427.8937683105469,2.981675624847412
38,torch_mfa_18x18,-11.931611061096191,23.485858917236328
39,torch_mfa_18x18,84.7322998046875,6.580987453460693
40,torch_mfa_18x18,-183.06004333496094,14.219101905822754
41,torch_mfa_18x18,5567.41162109375,52.28862762451172
42,torch_mfa_18x18,73.02440643310547,57.800437927246094
43,torch_mfa_18x18,1145.7406005859375,68.06425476074219
44,torch_mfa_18x18,6615.97314453125,66.43572235107422
45,torch_mfa_18x18,90.22138214111328,21.13714027404785
46,torch_mfa_18x18,-149.73440551757812,29.54860496520996
47,torch_mfa_18x18,490.1592102050781,51.76654815673828
48,torch_mfa_18x18,406.549560546875,42.966209411621094
49,torch_mfa_18x18,7482.3935546875,88.2549057006836
50,torch_mfa_18x18,-162.17994689941406,10.969705581665039
51,torch_mfa_18x18,1187.676513671875,231.45179748535156
52,torch_mfa_18x18,5874.1728515625,95.08845520019531
53,torch_mfa_18x18,197.32022094726562,34.12952423095703
54,torch_mfa_18x18,-23.644092559814453,24.971433639526367
55,torch_mfa_18x18,-119.61219787597656,24.011899948120117
56,torch_mfa_18x18,-132.0941162109375,31.092525482177734
57,torch_mfa_18x18,-313.6161193847656,5.738244533538818
58,torch_mfa_18x18,1625.6781005859375,79.32010650634766
59,torch_mfa_18x18,386.1459655761719,59.26933670043945
60,torch_mfa_18x18,1752.1168212890625,75.98979187011719
61,torch_mfa_18x18,1518.2628173828125,98.18202209472656
62,torch_mfa_18x18,2727.66162109375,50.99854278564453
63,torch_mfa_18x18,915.3851318359375,48.32181930541992
64,torch_mfa_18x18,385.798095703125,28.37869644165039
65,torch_mfa_18x18,1855.1453857421875,71.84050750732422
66,torch_mfa_18x18,766.122802734375,54.321224212646484
67,torch_mfa_18x18,4844.44677734375,63.72100830078125
68,torch_mfa_18x18,9683.2421875,140.09063720703125
69,torch_mfa_18x18,117.77182006835938,79.70864868164062
70,torch_mfa_18x18,-38.288333892822266,11.647406578063965
71,torch_mfa_18x18,-119.18789672851562,26.270675659179688
72,torch_mfa_18x18,1001.7140502929688,67.8705825805664
73,torch_mfa_18x18,1286.6065673828125,60.57797622680664
74,torch_mfa_18x18,-124.13651275634766,10.686782836914062
75,torch_mfa_18x18,558.275390625,26.769895553588867
76,torch_mfa_18x18,657.6500244140625,55.975826263427734
77,torch_mfa_18x18,911.974853515625,56.6464958190918
78,torch_mfa_18x18,3219.759765625,38.20616149902344
79,torch_mfa_18x18,-132.17391967773438,22.313037872314453
80,torch_mfa_18x18,55.99850082397461,28.592775344848633
81,torch_mfa_18x18,691.2332153320312,49.72942352294922
82,torch_mfa_18x18,1466.2451171875,102.13849639892578
83,torch_mfa_18x18,-59.26578903198242,41.567474365234375
84,torch_mfa_18x18,774.287109375,60.62770080566406
85,torch_mfa_18x18,52.915771484375,42.824459075927734
86,torch_mfa_18x18,581.4795532226562,37.76778030395508
87,torch_mfa_18x18,239.4143829345703,40.548892974853516
88,torch_mfa_18x18,125.6165771484375,25.316282272338867
89,torch_mfa_18x18,-25.677867889404297,8.638651847839355
90,torch_mfa_18x18,8040.30908203125,154.20399475097656
91,torch_mfa_18x18,71.74913787841797,32.11222457885742
92,torch_mfa_18x18,4072.22265625,49.97312927246094
93,torch_mfa_18x18,675.7802124023438,73.90222930908203
94,torch_mfa_18x18,-55.561973571777344,18.529033660888672
95,torch_mfa_18x18,122.41117095947266,45.33774948120117
96,torch_mfa_18x18,-47.902950286865234,37.68102264404297
97,torch_mfa_18x18,309.4910583496094,67.63533782958984
98,torch_mfa_18x18,27.800683975219727,28.0231990814209
99,torch_mfa_18x18,-45.20963668823242,24.2249813079834
100,torch_mfa_18x18,-97.9396743774414,19.93756675720215
101,torch_mfa_18x18,-5.114190578460693,15.868940353393555
102,torch_mfa_18x18,40.2011833190918,52.4697265625
103,torch_mfa_18x18,-110.63912963867188,10.05717658996582
104,torch_mfa_18x18,-6.748553276062012,29.008644104003906
105,torch_mfa_18x18,-67.24469757080078,47.022830963134766
106,torch_mfa_18x18,754.585693359375,100.23567199707031
107,torch_mfa_18x18,-12.628424644470215,9.359057426452637
108,torch_mfa_18x18,831.1932983398438,51.82392883300781
109,torch_mfa_18x18,9291.482421875,94.16957092285156
110,torch_mfa_18x18,7969.83984375,101.71244812011719
111,torch_mfa_18x18,428.25244140625,24.989614486694336
112,torch_mfa_18x18,-42.03176498413086,16.358840942382812
113,torch_mfa_18x18,-187.9979248046875,14.475862503051758
114,torch_mfa_18x18,5121.37353515625,63.859832763671875
115,torch_mfa_18x18,6330.11962890625,50.78563690185547
116,torch_mfa_18x18,2499.569091796875,104.41838836669922
117,torch_mfa_18x18,141.3660125732422,81.42664337158203
118,torch_mfa_18x18,-55.08940124511719,10.791974067687988
119,torch_mfa_18x18,11250.5078125,110.62815856933594
120,torch_mfa_18x18,1334.2027587890625,91.31338500976562
121,torch_mfa_18x18,427.5830078125,38.683135986328125
122,torch_mfa_18x18,38.12689208984375,29.079050064086914
123,torch_mfa_18x18,-3.952385425567627,26.075016021728516
124,torch_mfa_18x18,43.781898498535156,32.264373779296875
125,torch_mfa_18x18,3261.21484375,92.048583984375
126,torch_mfa_18x18,87.8756332397461,33.33015060424805
127,torch_mfa_18x18,6358.859375,139.712158203125
128,torch_mfa_18x18,304.7412109375,81.56845092773438
