,imputer_model,img_kind,structural_similarity,peak_signal_noise_ratio
0,gmm_linear_heads,inpainted_means_0,0.85 ± 0.06,22.89 ± 2.83
1,gmm_linear_heads,inpainted_samples_0,0.83 ± 0.07,22.35 ± 2.90
2,gmm_linear_heads,mask,0.01 ± 0.06,4.40 ± 0.80
3,gmm_linear_heads,masked,0.28 ± 0.09,9.21 ± 1.79
4,gmm_linear_heads,means_0,0.72 ± 0.09,15.20 ± 2.05
5,gmm_linear_heads,original,1.00 ± 0.00,inf ± nan
6,gmm_linear_heads,samples_0,0.70 ± 0.09,14.96 ± 2.02
7,torch_mfa,inpainted_means_0,0.84 ± 0.08,23.67 ± 3.43
8,torch_mfa,inpainted_samples_0,0.63 ± 0.13,15.75 ± 3.08
9,torch_mfa,mask,0.01 ± 0.06,4.40 ± 0.80
10,torch_mfa,masked,0.28 ± 0.09,9.21 ± 1.79
11,torch_mfa,means_0,0.84 ± 0.08,23.67 ± 3.43
12,torch_mfa,original,1.00 ± 0.00,inf ± nan
13,torch_mfa,samples_0,0.52 ± 0.16,12.57 ± 2.46
